ApplicationYear,TotalApplications
NULL,1
1939,2
1941,1
1942,3
1943,1
1946,4
1947,3
1948,3
1949,4
1950,5
1951,1
1952,9
1953,13
1954,9
1955,11
1956,6
1957,8
1958,9
1959,15
1960,14
1961,11
1962,7
1963,13
1964,20
1965,19
1966,12
1967,19
1968,16
1969,13
1970,21
1971,44
1972,55
1973,54
1974,90
1975,143
1976,198
1977,203
1978,247
1979,254
1980,284
1981,323
1982,495
1983,434
1984,525
1985,601
1986,700
1987,703
1988,845
1989,854
1990,763
1991,878
1992,896
1993,973
1994,997
1995,1111
1996,1335
1997,1316
1998,1495
1999,1478
2000,1632
2001,1756
2002,1957
2003,809
2004,895
2005,815
2006,870
2007,1118
2008,1035
2009,1018
2010,1130
2011,1279
2012,1364
2013,1760
2014,1886
2015,1829
2016,1529
