ApplicationYear,ProductMktStatus,TotalApplications
NULL,1,1
NULL,3,1
1939,1,2
1939,3,5
1940,3,3
1941,1,1
1941,3,2
1942,1,3
1942,3,3
1943,1,1
1943,3,3
1944,3,4
1945,3,3
1946,1,4
1946,3,8
1947,1,3
1947,3,7
1948,1,3
1948,3,9
1949,1,4
1949,3,6
1950,1,5
1950,2,1
1950,3,14
1951,1,1
1951,3,17
1952,1,9
1952,3,13
1953,1,13
1953,3,24
1954,1,9
1954,3,19
1955,1,11
1955,3,22
1956,1,6
1956,3,21
1957,1,8
1957,3,38
1958,1,9
1958,3,25
1959,1,15
1959,3,37
1960,1,14
1960,3,40
1961,1,11
1961,3,34
1962,1,7
1962,3,29
1963,1,13
1963,3,22
1964,1,20
1964,3,42
1965,1,19
1965,3,32
1966,1,12
1966,3,27
1967,1,19
1967,3,37
1968,1,16
1968,2,1
1968,3,28
1969,1,13
1969,3,39
1970,1,21
1970,3,52
1971,1,44
1971,3,82
1972,1,55
1972,3,111
1973,1,54
1973,3,112
1974,1,90
1974,2,1
1974,3,224
1975,1,143
1975,3,286
1976,1,198
1976,2,3
1976,3,408
1977,1,203
1977,2,4
1977,3,402
1978,1,247
1978,2,8
1978,3,472
1979,1,254
1979,2,9
1979,3,502
1980,1,284
1980,2,11
1980,3,487
1981,1,323
1981,2,10
1981,3,600
1982,1,495
1982,2,13
1982,3,901
1983,1,434
1983,2,10
1983,3,848
1984,1,525
1984,2,16
1984,3,874
1985,1,601
1985,2,18
1985,3,1005
1986,1,700
1986,2,22
1986,3,1170
1987,1,702
1987,2,32
1987,3,1164
1988,1,845
1988,2,29
1988,3,1389
1989,1,854
1989,2,38
1989,3,1347
1990,1,763
1990,2,23
1990,3,1085
1991,1,878
1991,2,31
1991,3,1324
1992,1,895
1992,2,45
1992,3,1367
1993,1,972
1993,2,40
1993,3,1219
1994,1,995
1994,2,45
1994,3,1328
1995,1,1107
1995,2,43
1995,3,1237
1996,1,1326
1996,2,72
1996,3,1393
1997,1,1307
1997,2,76
1997,3,1376
1998,1,1483
1998,2,99
1998,3,1579
1999,1,1455
1999,2,100
1999,3,1272
2000,1,1608
2000,2,108
2000,3,1269
2001,1,1728
2001,2,115
2001,3,1215
2002,1,1935
2002,2,122
2002,3,1158
2002,4,1
2003,1,765
2003,2,51
2003,3,394
2004,1,860
2004,2,75
2004,3,424
2004,4,5
2005,1,764
2005,2,50
2005,3,303
2005,4,2
2006,1,784
2006,2,65
2006,3,310
2006,4,1
2007,1,1018
2007,2,61
2007,3,342
2007,4,3
2008,1,972
2008,2,62
2008,3,316
2008,4,2
2009,1,966
2009,2,80
2009,3,300
2009,4,2
2010,1,1044
2010,2,68
2010,3,218
2011,1,1219
2011,2,60
2011,3,259
2011,4,1
2012,1,1325
2012,2,67
2012,3,215
2012,4,7
2013,1,1715
2013,2,82
2013,3,298
2013,4,7
2014,1,1858
2014,2,88
2014,3,269
2014,4,8
2015,1,1808
2015,2,95
2015,3,248
2015,4,5
2016,1,1529
2016,2,82
2016,3,166
2016,4,8
